,rating,genre,year,score,votes,director,writer,star,country,budget,gross,company,runtime,yearcorrect
3660,6,4,2000,6.4,161000.0,2644,4078,282,53,16000000,119754278,835,93.0,2000
4144,4,0,2002,5.2,62000.0,2283,3530,61,53,38000000,119723358,807,100.0,2002
2927,4,4,1996,5.7,42000.0,1978,3239,1240,53,0,119718203,2114,105.0,1996
7476,4,1,2019,6.1,27000.0,1103,3035,967,53,49000000,119682635,1698,102.0,2019
7560,4,2,2019,5.9,11000.0,750,2208,2328,45,90000000,119559110,1695,85.0,2019
6912,6,0,2016,7.1,146000.0,2293,3910,272,52,85000000,119520023,1697,124.0,2016
5113,6,3,2007,7.0,113000.0,1896,14,2489,53,75000000,119483446,2142,102.0,2007
1856,5,6,1991,7.7,69000.0,1399,1281,1364,53,11000000,119418501,2142,130.0,1992
116,4,6,1981,7.6,29000.0,1733,1258,1356,53,0,119285432,1224,109.0,1982
4709,5,0,2005,6.0,94000.0,303,745,1695,52,130000000,119240351,1697,124.0,2005
2480,6,0,1994,5.6,78000.0,1358,855,666,53,50000000,119208989,1697,104.0,1994
4071,6,6,2002,6.7,83000.0,25,732,2078,14,50000000,119137784,1040,124.0,2002
6882,5,0,2016,6.3,124000.0,1168,268,254,53,17000000,119100758,686,86.0,2016
4902,6,9,2006,5.8,133000.0,1142,1445,1670,53,25000000,118890272,1606,93.0,2006
3535,5,6,1999,6.2,37000.0,1649,3033,1406,53,80000000,118880016,2179,126.0,1999
4253,6,4,2003,7.7,426000.0,2459,3810,238,53,4000000,118686937,1023,102.0,2003
6887,6,0,2016,6.0,93000.0,1110,1712,779,53,10000000,118587880,2142,108.0,2016
2317,4,4,1993,4.9,26000.0,2301,2057,368,53,15000000,118243066,1637,89.0,1993
5047,5,5,2007,6.8,226000.0,519,707,2306,53,20000000,118114220,835,105.0,2007
6971,6,4,2016,6.2,104000.0,1343,2050,2649,53,38000000,118102725,2115,111.0,2016
4710,4,2,2005,7.3,251000.0,2622,4039,1242,53,40000000,118090836,2179,77.0,2005
2475,4,0,1994,6.6,78000.0,588,1383,1949,53,35000000,118071125,1697,118.0,1994
3087,5,0,1997,6.2,64000.0,2137,2485,2543,53,68000000,118063304,1697,116.0,1997
6363,5,3,2013,7.5,155000.0,1360,2320,723,53,35000000,117867984,2176,125.0,2013
6549,5,0,2014,5.5,108000.0,2062,1774,1429,6,100000000,117831631,2104,105.0,2014
4452,5,6,2004,7.8,534000.0,1947,1888,818,53,29000000,117815157,1606,123.0,2004
6731,6,4,2015,5.6,53000.0,972,3368,365,53,14800000,117813057,2179,115.0,2015
3533,5,0,1999,6.3,77000.0,1616,2800,1660,15,65000000,117758500,686,93.0,1999
7290,6,0,2018,6.9,215000.0,1335,2672,1050,53,37000000,117679066,87,100.0,2018
2496,5,5,1994,6.7,62000.0,1301,2048,2384,53,45000000,117615211,2179,119.0,1994
4560,5,6,2004,5.8,65000.0,1448,1424,1309,53,42000000,117592831,1846,91.0,2004
3865,5,0,2001,6.9,176000.0,315,506,905,53,65000000,117487473,686,132.0,2001
2258,4,4,1993,5.6,58000.0,1948,1526,2580,53,0,117270765,2179,94.0,1993
5202,4,4,2007,5.4,22000.0,2616,1838,720,15,35000000,117252578,835,100.0,2009
4336,5,0,2003,6.3,105000.0,1397,3284,206,53,60000000,117248958,1697,119.0,2003
5954,5,6,2011,6.9,113000.0,831,3404,2116,53,38000000,117094902,1040,120.0,2011
6315,5,4,2013,6.8,223000.0,1423,1639,1869,53,35000000,116980662,2016,98.0,2013
4982,4,2,2006,5.6,29000.0,2520,3895,1409,53,51000000,116755080,1645,90.0,2006
3324,6,0,1998,6.4,70000.0,762,2451,598,53,70000000,116672912,2115,116.0,1998
4529,4,3,2004,7.7,201000.0,1680,139,1242,53,25000000,116650613,1556,106.0,2004
4295,6,0,2003,5.7,113000.0,2326,4245,2109,6,30000000,116632628,1606,97.0,2003
6091,6,0,2012,5.9,151000.0,2635,3754,220,53,69000000,116471580,83,105.0,2012
2293,6,6,1993,5.0,30000.0,2137,1628,2293,53,40000000,116300000,1697,107.0,1993
2650,6,5,1995,8.2,480000.0,1752,3031,2106,53,52000000,116112375,2142,178.0,1995
5305,6,0,2008,7.1,218000.0,2224,4292,1502,53,70000000,115900897,2179,128.0,2008
4492,6,0,2004,6.7,218000.0,648,1943,2564,53,105000000,115900534,2142,119.0,2004
6015,5,3,2011,6.4,105000.0,2138,22,1730,52,13000000,115890699,751,105.0,2012
7432,4,2,2018,7.8,24000.0,2584,58,1677,27,8500000,115757940,2083,100.0,2019
5712,6,5,2010,5.2,95000.0,2375,4246,984,53,35000000,115695182,1606,95.0,2010
4489,6,6,2004,7.2,207000.0,1896,3144,1844,53,27000000,115505027,686,104.0,2004
5552,4,4,2009,5.5,102000.0,896,1467,1350,53,30000000,115375850,1040,89.0,2009
4081,6,0,2002,7.2,133000.0,2171,1534,1716,53,75000000,115374915,1229,138.0,2002
6048,5,4,2012,7.1,285000.0,1163,2310,136,53,17000000,115350426,471,112.0,2012
2895,5,0,1996,6.5,93000.0,2232,3152,597,53,57000000,115267375,2142,103.0,1996
6,6,0,1980,7.9,188000.0,1358,797,1202,53,27000000,115229890,2142,133.0,1980
4207,1,2,2002,5.8,19000.0,2297,3988,256,53,20000000,115121981,812,72.0,2002
859,4,0,1986,6.1,82000.0,1337,3517,1941,53,0,115103979,686,113.0,1986
2691,6,4,1995,6.9,78000.0,208,1210,819,53,30250000,115101622,1538,105.0,1995
4194,4,1,2002,5.2,26000.0,319,1933,482,6,33000000,115035090,2176,99.0,2002
5750,5,6,2010,6.3,142000.0,1593,1757,365,53,25000000,114984666,1911,108.0,2010
4950,4,6,2006,6.8,143000.0,58,886,1373,53,40000000,114830111,2179,99.0,2006
6997,6,4,2016,5.9,72000.0,1454,2147,1050,53,45000000,114501299,832,105.0,2016
6219,5,4,2012,6.3,42000.0,597,4180,1730,53,30000000,114281051,686,100.0,2012
3912,6,0,2001,6.8,124000.0,845,830,2106,15,68000000,114252154,1697,124.0,2001
4894,5,5,2006,6.5,113000.0,149,1122,365,53,12000000,114197742,2095,104.0,2006
6520,5,0,2014,5.5,74000.0,2419,625,207,53,95000000,114178613,353,102.0,2015
3555,5,6,1999,6.7,36000.0,134,246,1185,53,92000000,113996937,1040,148.0,1999
3653,5,4,2000,5.7,108000.0,622,1441,2015,53,45000000,113916474,2095,100.0,2000
5336,6,5,2008,5.8,118000.0,602,3147,2240,6,10800000,113864059,2117,92.0,2008
4074,6,6,2002,7.2,281000.0,469,1579,36,53,46000000,113758770,111,118.0,2002
2701,6,0,1995,5.6,112000.0,564,2125,2390,53,90000000,113493481,1198,96.0,1995
5278,6,3,2008,7.7,244000.0,487,1656,128,53,55000000,113398237,1236,141.0,2008
2671,6,0,1995,5.8,76000.0,2311,1030,1847,53,35000000,113374103,1538,108.0,1995
2878,6,4,1996,4.5,44000.0,104,562,590,53,40000000,113309743,563,115.0,1996
5273,6,0,2008,7.0,222000.0,2569,301,2390,15,50000000,113244290,1429,92.0,2008
7094,5,0,2017,5.6,131000.0,1968,59,957,53,60000000,113231078,686,95.0,2017
7521,6,9,2019,5.7,86000.0,1542,3851,1054,53,21000000,113118226,1697,101.0,2019
4446,5,4,2004,5.6,135000.0,1510,2312,1650,53,37000000,113100873,1846,109.0,2004
6739,5,9,2015,6.1,97000.0,1610,2467,602,6,10000000,112983889,1116,97.0,2015
3669,6,9,2000,6.7,236000.0,1142,1445,604,53,23000000,112880294,1606,98.0,2000
3282,4,0,1998,6.4,72000.0,1416,1383,1949,53,58000000,112587658,1697,103.0,1998
5757,4,4,2010,5.0,44000.0,1836,2550,653,53,48000000,112462508,2115,101.0,2010
6915,6,4,2016,6.1,83000.0,446,17,496,53,38000000,112343513,1606,110.0,2016
2502,6,6,1994,6.4,53000.0,1527,2718,2106,53,45000000,112006296,2104,123.0,1994
6465,6,0,2014,6.4,143000.0,1110,1712,779,53,9000000,111928365,2142,103.0,2014
6712,6,4,2015,6.0,127000.0,793,1803,2599,53,40000000,111711453,1072,100.0,2015
4877,6,0,2006,6.7,193000.0,1611,858,1346,53,50000000,111476513,1911,106.0,2006
97,6,4,1981,6.2,40000.0,274,439,503,6,2500000,111289673,250,94.0,1982
5319,5,0,2008,5.7,76000.0,134,2023,1695,53,70000000,111231041,2179,112.0,2008
7651,4,1,2020,6.8,42000.0,438,2838,895,6,135000000,111105497,17,100.0,2020
4678,5,4,2005,5.1,76000.0,1169,1507,2259,53,50000000,111069515,2179,104.0,2005
7498,6,1,2019,6.7,66000.0,904,2459,988,53,20000000,111037232,2142,90.0,2019
1076,5,4,1987,6.5,31000.0,1028,1926,1749,53,12000000,110996879,1816,111.0,1987
3702,4,1,2000,5.7,71000.0,310,2548,2466,53,100000000,110983407,2095,114.0,2000
1505,6,5,1989,6.8,39000.0,1008,3414,36,53,19000000,110879513,2142,113.0,1989
5020,1,1,2006,4.8,34000.0,1836,1146,2461,53,12000000,110768122,2176,92.0,2006
2736,5,0,1995,5.9,62000.0,1064,2004,2211,53,22000000,110627965,686,114.0,1995
3116,6,0,1997,6.0,55000.0,1901,2486,826,53,50000000,110463140,835,124.0,1997
3745,4,4,2000,6.1,41000.0,1407,317,312,53,65000000,110317580,599,104.0,2000
6906,5,0,2016,7.2,300000.0,543,2210,1218,53,15000000,110216998,1697,103.0,2016
5850,5,3,2011,7.6,385000.0,224,3922,272,53,50000000,110206216,686,133.0,2011
4079,4,2,2002,7.2,107000.0,2321,3515,1270,53,140000000,110041363,2175,95.0,2002
4773,4,2,2005,6.4,58000.0,502,4069,143,53,30000000,110013167,2071,80.0,2006
6931,5,0,2016,5.2,103000.0,1071,3953,393,53,38000000,109906372,686,112.0,2016
863,4,0,1986,7.3,81000.0,1614,1383,2613,53,25000000,109713132,1697,119.0,1986
4501,6,4,2004,7.5,183000.0,72,3379,1957,53,16000000,109706931,1044,127.0,2004
4846,5,6,2006,8.5,1200000.0,469,2177,417,52,40000000,109676311,2095,130.0,2006
3043,6,6,1997,7.8,361000.0,596,2004,1743,53,50000000,109423648,1755,129.0,1997
7242,3,0,2017,7.3,13000.0,2793,1584,881,44,0,109383972,798,139.0,2017
3689,6,6,2000,7.7,129000.0,2482,2461,1031,52,5000000,109283018,2011,110.0,2000
5359,5,0,2008,6.1,160000.0,1992,2551,1071,14,30000000,108979549,927,104.0,2008
5271,6,6,2008,7.6,234000.0,2482,932,1355,15,32000000,108902486,2071,124.0,2009
4107,5,6,2002,7.5,127000.0,2482,2817,1730,53,25000000,108846072,1697,110.0,2003
6006,6,0,2011,5.9,54000.0,83,2042,2068,53,30000000,108609310,2142,108.0,2011
4983,4,2,2006,6.0,34000.0,1641,786,790,14,86000000,108605609,927,94.0,2007
4706,5,3,2005,8.0,179000.0,2322,741,2168,53,88000000,108539911,2142,144.0,2005
2485,5,4,1994,4.6,66000.0,1069,2368,170,53,60000000,108431355,2142,109.0,1994
354,4,4,1983,7.4,57000.0,1126,2422,2307,53,8000000,108423749,1697,132.0,1983
5545,4,4,2009,5.9,76000.0,2001,4148,971,53,0,108394089,2095,104.0,2009
8,4,0,1980,6.8,101000.0,2203,1900,819,53,54000000,108185706,830,127.0,1981
4570,5,0,2004,6.7,79000.0,1286,2041,2562,53,100000000,108040622,2095,136.0,2004
6977,6,4,2016,5.7,116000.0,1945,194,2267,53,35000000,108007109,2142,92.0,2016
2707,5,4,1995,6.8,54000.0,2241,14,1743,53,62000000,107879496,2142,114.0,1995
3506,6,0,1999,7.1,163000.0,629,2103,826,53,75000000,107752036,2179,114.0,1999
6527,6,4,2014,6.3,162000.0,2407,3733,1050,53,42000000,107645357,361,108.0,2014
3727,6,0,2000,6.0,75000.0,1387,1259,2207,15,46000000,107626125,1697,99.0,2000
6838,4,0,2015,4.4,35000.0,130,2358,1409,53,30000000,107588225,686,94.0,2015
4702,6,9,2005,6.0,107000.0,109,3712,2178,53,19000000,107516369,1538,90.0,2005
4273,6,5,2003,6.2,133000.0,1695,2375,1146,53,9500000,107363905,1606,98.0,2003
6680,6,1,2015,6.1,103000.0,1335,2164,658,53,31000000,107228221,361,99.0,2015
2460,5,4,1994,6.9,284000.0,2671,1675,1160,53,15000000,107217396,1568,86.0,1994
2325,6,0,1993,6.3,43000.0,2132,2815,2250,53,35000000,107198790,2115,129.0,1993
6167,4,2,2012,7.0,96000.0,420,656,1434,53,60000000,107139399,1023,92.0,2012
6660,5,0,2015,7.3,286000.0,989,1504,920,53,75000000,107045109,2179,116.0,2015
5783,5,6,2010,6.4,91000.0,487,3256,1683,53,50000000,106956330,2179,129.0,2010
2519,5,6,1994,6.5,28000.0,1803,2655,1185,53,24500000,106683817,867,112.0,1994
5347,5,4,2008,5.9,69000.0,2063,45,1945,53,40000000,106407672,686,101.0,2008
5546,4,0,2009,5.7,57000.0,130,2736,653,53,65000000,106387141,2176,98.0,2009
3687,6,4,2000,6.7,114000.0,1425,2956,312,53,41300000,106371651,1045,98.0,2000
2710,4,6,1995,7.3,36000.0,2488,3153,2075,53,23000000,106269971,1198,143.0,1996
7001,4,2,2016,6.8,21000.0,701,1243,698,14,30000000,106127278,1796,89.0,2017
4136,6,4,2002,7.1,124000.0,72,2532,979,53,30000000,105834556,1606,125.0,2003
5261,6,4,2008,7.1,271000.0,1945,1794,1439,53,30000000,105833257,2142,111.0,2008
5683,5,4,2010,6.5,126000.0,962,1617,1357,53,38000000,105734416,1318,114.0,2010
7322,5,3,2018,7.3,176000.0,529,2219,2172,53,59000000,105713218,2142,141.0,2018
5611,4,2,2009,6.0,52000.0,1439,1978,653,45,70000000,105647102,2104,91.0,2009
4708,5,0,2005,5.9,118000.0,2596,1183,1683,53,88000000,105316267,807,118.0,2005
2086,5,4,1992,7.1,54000.0,2122,3274,2117,53,23000000,105232691,1701,126.0,1992
6320,6,0,2013,6.7,209000.0,2334,4251,2257,53,60000000,105200903,2179,113.0,2013
3903,6,6,2001,6.4,79000.0,1606,1748,1824,53,60000000,105178561,1697,104.0,2001
6745,6,4,2015,6.0,64000.0,1163,3209,99,53,30000000,105011053,1431,118.0,2015
2367,5,4,1993,5.1,16000.0,2188,2606,2594,53,22000000,104942695,524,111.0,1993
6173,6,4,2012,6.1,126000.0,1173,665,2599,53,95000000,104907746,2179,85.0,2012
4516,6,0,2004,7.7,130000.0,2480,3840,2347,17,20000000,104882445,687,99.0,2005
3861,6,5,2001,7.7,403000.0,162,887,598,53,45000000,104876233,2179,122.0,2001
7517,5,1,2019,6.2,66000.0,128,805,2647,53,25000000,104545505,498,108.0,2019
4660,4,1,2005,6.7,190000.0,879,1108,1657,52,50000000,104478416,2095,109.0,2005
7348,5,4,2018,6.1,26000.0,250,411,608,53,10000000,104438188,195,104.0,2018
5499,6,5,2009,7.8,211000.0,1963,3062,1758,46,13000000,104414200,2221,152.0,2010
4157,5,0,2002,5.4,81000.0,1538,3277,983,53,60000000,104391623,409,98.0,2002
2708,6,0,1995,5.5,45000.0,910,3400,2370,53,60000000,104324083,2179,100.0,1995
3668,6,5,2000,6.4,97000.0,2582,2674,1113,53,33000000,104155843,1606,107.0,2000
4926,5,4,2006,4.5,52000.0,1510,2312,2297,53,64000000,104003322,1846,98.0,2006
5179,4,1,2007,6.4,39000.0,1174,3521,718,33,40000000,103967384,1846,112.0,2007
4456,6,9,2004,7.6,391000.0,1139,2467,341,53,1200000,103911669,932,103.0,2004
3277,6,5,1998,6.0,77000.0,310,498,1877,53,73000000,103891409,1697,98.0,1998
6626,5,9,2014,4.5,50000.0,2545,2256,1909,53,5000000,103687316,2142,89.0,2014
4553,5,4,2004,5.3,62000.0,845,1628,1879,53,90000000,103370127,1697,93.0,2004
17,4,4,1980,6.9,29000.0,494,3137,1038,53,10000000,103300686,1224,109.0,1980
3808,1,2,2000,6.2,12000.0,2544,1654,425,15,30000000,103291131,1697,78.0,2000
6466,6,4,2014,7.7,594000.0,60,100,1754,53,18000000,103215094,1608,119.0,2014
3467,5,4,1999,5.9,86000.0,2268,3325,791,53,10000000,103166989,1556,95.0,1999
4795,5,4,2005,5.9,41000.0,1548,4304,178,53,35000000,103121466,686,105.0,2005
7399,5,4,2018,5.6,38000.0,1670,2357,1408,53,29000000,103105878,1168,111.0,2018
6541,5,0,2014,6.2,220000.0,2734,1682,1242,52,100000000,103039258,111,119.0,2014
3955,1,2,2001,6.0,32000.0,1306,1992,581,53,30000000,102992536,1697,82.0,2001
4050,6,0,2002,6.7,254000.0,2062,3203,1804,52,33000000,102984862,704,100.0,2002
1267,6,4,1988,6.8,54000.0,1896,2368,1718,53,28000000,102953112,2115,113.0,1988
7126,6,5,2017,5.8,73000.0,1856,2220,1689,6,10000000,102952888,2117,92.0,2017
4734,5,4,2005,6.7,101000.0,1737,3269,2061,53,58000000,102854431,835,95.0,2005
2883,5,4,1996,6.1,157000.0,220,2529,1160,53,47000000,102825796,686,96.0,1996
5669,6,4,2010,6.7,186000.0,762,631,994,53,30000000,102820008,1040,112.0,2010
6668,6,0,2015,6.8,235000.0,1934,3016,2289,43,49000000,102811889,686,120.0,2015
6094,6,4,2012,6.6,193000.0,1969,2730,2451,53,12000000,102731865,1126,88.0,2012
2861,6,5,1996,7.7,196000.0,971,4272,2078,53,30000000,102616183,1697,129.0,1996
5456,6,1,2009,7.6,534000.0,2334,3381,1142,53,23600000,102392080,686,88.0,2009
3296,5,0,1998,6.6,98000.0,2546,3628,2506,53,60000000,102367405,2179,131.0,1998
5576,5,4,2009,5.8,86000.0,1737,2147,1695,53,37500000,102366815,1315,100.0,2009
5011,1,2,2006,5.2,25000.0,2502,1146,1415,6,80000000,102338515,496,82.0,2006
4479,6,0,2004,7.3,243000.0,2804,1394,2223,53,26000000,102278712,2001,101.0,2004
4116,5,5,2002,7.1,127000.0,1947,1731,598,53,36000000,102244770,1606,116.0,2002
2722,5,4,1995,6.6,48000.0,1599,25,1706,52,0,101982854,1755,111.0,1995
6627,4,3,2014,5.8,26000.0,2171,3348,864,53,12000000,101982712,2104,99.0,2014
6237,6,9,2012,4.2,35000.0,2760,4266,766,53,1000000,101758490,1263,83.0,2012
2506,6,0,1994,5.9,57000.0,2095,2684,1083,53,27000000,101646581,1382,99.0,1994
5292,6,0,2008,6.9,322000.0,599,3759,2267,53,27000000,101624843,686,111.0,2008
4320,5,4,2003,5.5,69000.0,2435,3671,178,53,18000000,101564935,2115,95.0,2003
4757,5,0,2005,5.1,71000.0,1374,2601,2211,53,45000000,101393569,563,115.0,2005
2862,5,4,1996,6.3,214000.0,2622,2470,979,53,70000000,101371017,2081,106.0,1996
5509,5,6,2009,7.1,144000.0,2284,532,729,53,39000000,101344412,1606,107.0,2009
19,6,4,1980,6.8,26000.0,2445,531,820,53,0,101300000,686,111.0,1980
5065,6,0,2007,6.3,163000.0,2785,3807,2471,14,24000000,101276318,2115,100.0,2007
3444,6,6,1999,8.8,1900000.0,596,720,272,15,63000000,101209702,1040,139.0,1999
4369,5,0,2003,6.6,131000.0,2311,3578,36,53,46000000,101191884,2095,115.0,2003
6718,5,3,2015,6.6,131000.0,629,966,1112,53,60000000,101134059,1040,124.0,2015
4860,6,4,2006,7.8,450000.0,1414,2794,2359,53,8000000,101058954,1044,101.0,2006
2891,6,0,1996,6.6,52000.0,762,3153,598,53,46000000,100860818,1040,116.0,1996
5543,6,9,2009,5.4,55000.0,2026,4070,1122,53,15000000,100734718,1429,101.0,2009
2968,5,6,1996,6.2,14000.0,1399,1949,2117,53,60000000,100688705,2095,124.0,1996
6594,4,4,2014,6.2,42000.0,1877,3446,2359,53,28000000,100654149,2176,81.0,2014
4880,6,9,2006,6.5,217000.0,454,3571,2033,6,50000000,100605135,2104,125.0,2006
4607,5,0,2004,6.5,55000.0,1174,2496,1181,53,55000000,100572044,2095,115.0,2004
7099,6,9,2017,6.6,213000.0,549,3381,994,52,58000000,100541806,686,104.0,2017
6604,6,4,2014,4.9,49000.0,217,2785,1724,53,20000000,100375432,1818,97.0,2014
6558,3,4,2014,8.1,169000.0,2159,3338,4,20,0,100370104,1811,153.0,2014
4909,6,6,2006,6.7,100000.0,2258,1241,1683,53,110000000,100266865,2142,167.0,2006
3497,6,6,1999,6.9,114000.0,1988,844,36,53,55000000,100230832,2179,162.0,1999
5501,4,1,2009,6.7,102000.0,2462,3817,1700,15,100000000,100140916,2179,101.0,2009
6404,5,3,2013,7.6,96000.0,2484,3880,1294,52,12000000,100129872,2071,98.0,2013
5370,4,1,2008,6.0,34000.0,1216,2204,1185,53,37000000,100104565,2174,96.0,2008
3941,6,6,2001,6.3,50000.0,883,196,1743,53,50000000,100020092,1608,113.0,2001
7078,6,0,2017,6.7,182000.0,615,2394,377,53,30000000,100014025,1023,115.0,2017
6535,4,2,2014,7.3,66000.0,1441,2192,615,53,50000000,99783556,1828,95.0,2014
6683,6,3,2015,6.9,171000.0,2391,2666,1242,53,53000000,99775678,730,123.0,2015
5657,5,9,2010,6.8,287000.0,1139,2467,1951,53,1500000,99557032,988,103.0,2011
7627,3,0,2019,6.0,674.0,1177,591,1570,17,0,99482027,305,98.0,2019
2462,5,0,1994,4.0,67000.0,2528,3901,1083,27,35000000,99431786,540,102.0,1994
4482,5,0,2004,6.8,312000.0,982,1493,2143,53,66000000,99378985,1846,122.0,2004
6117,5,6,2012,6.5,103000.0,2396,4255,2633,53,25000000,99357138,2179,101.0,2012
3713,5,0,2000,6.6,122000.0,2652,2943,983,53,55000000,99274467,2095,110.0,2000
4872,4,4,2006,5.8,83000.0,1157,1780,975,53,35000000,99255460,1697,92.0,2006
6317,5,4,2013,7.3,195000.0,2782,4318,347,53,18000000,99104804,1121,98.0,2013
4282,6,0,2003,6.4,156000.0,2283,3530,161,53,29000000,98769390,686,102.0,2003
6658,6,3,2015,8.1,435000.0,2663,2219,1644,53,20000000,98690254,1703,129.0,2015
3512,5,4,1999,6.4,68000.0,845,3892,2364,53,55000000,98625775,2142,97.0,1999
661,5,6,1985,7.8,81000.0,2540,2790,531,53,15000000,98467863,159,154.0,1986
6679,5,9,2015,6.2,119000.0,1663,2575,1910,53,5000000,98450062,396,94.0,2015
4477,6,5,2004,7.7,424000.0,2046,3182,629,53,6500000,98410061,418,112.0,2005
3888,5,4,2001,6.1,122000.0,1069,1080,557,53,80000000,98376292,686,101.0,2001
6306,6,0,2013,6.4,157000.0,648,992,2564,6,38000000,98337295,1851,119.0,2013
1046,6,0,1987,7.8,381000.0,1367,1940,170,53,15000000,98268458,2115,107.0,1987
7356,5,0,2018,6.7,58000.0,55,853,1434,53,51000000,98203196,2006,96.0,2018
5717,5,0,2010,5.5,89000.0,2276,441,1357,53,75000000,98159963,1429,100.0,2010
3264,6,6,1998,7.6,177000.0,2593,1729,1161,53,52000000,98126565,1040,170.0,1999
3272,5,4,1998,7.0,71000.0,134,3953,647,53,26000000,98005666,2115,121.0,1998
5895,6,1,2011,7.0,240000.0,965,3804,2318,53,40000000,97984015,2142,104.0,2011
4807,4,1,2005,4.7,30000.0,319,3903,956,53,32000000,97918663,1846,95.0,2005
5205,4,4,2007,5.6,41000.0,591,800,2565,53,100000000,97838349,2179,116.0,2007
4098,6,5,2002,7.0,255000.0,1301,2414,459,53,13000000,97837138,1040,81.0,2003
3896,5,6,2001,7.6,145000.0,1243,2390,2257,53,22000000,97818139,1606,132.0,2002
7249,6,4,2018,6.8,136000.0,2040,862,136,6,20000000,97644617,303,117.0,2018
6319,5,6,2013,6.7,106000.0,1593,823,1308,53,28000000,97594140,1831,115.0,2013
6813,4,2,2015,7.7,58000.0,1726,1629,1088,14,81200000,97571250,1656,108.0,2016
6290,6,9,2013,6.5,160000.0,810,1289,1039,53,17000000,97542952,2104,91.0,2013
2935,4,4,1996,6.5,44000.0,1831,3995,1782,53,0,97529550,1040,108.0,1996
6356,5,3,2013,7.5,89000.0,315,506,363,53,40000000,97470701,2179,128.0,2013
5871,6,9,2011,6.1,131000.0,2747,2369,1866,53,40000000,97231420,807,111.0,2011
4692,6,0,2005,7.0,179000.0,2365,4267,994,53,72000000,97076152,2142,125.0,2005
6266,6,0,2013,8.1,446000.0,2322,3256,512,52,38000000,96983009,935,123.0,2013
3882,6,6,2001,7.6,249000.0,1185,1822,1292,23,68000000,96976270,1697,131.0,2001
7166,5,6,2017,6.3,32000.0,2551,2041,2198,53,20000000,96942115,2016,132.0,2017
1871,4,0,1991,7.2,72000.0,1944,1383,2613,53,30000000,96888996,1697,110.0,1991
4468,6,6,2004,7.6,460000.0,778,1655,178,53,13000000,96822421,361,113.0,2004
702,4,0,1985,6.1,53000.0,1621,2677,1743,53,25000000,96773200,1878,106.0,1985
1460,4,4,1989,7.3,50000.0,1028,3499,2307,53,15000000,96759512,2104,117.0,1989
5572,4,4,2009,5.3,37000.0,2735,908,2127,53,35000000,96753696,2176,88.0,2009
3491,6,5,1999,6.5,127000.0,1301,195,1877,15,40000000,96618699,686,123.0,1999
4603,4,4,2004,5.4,45000.0,1292,2048,2461,53,60000000,96593018,1846,99.0,2004
5995,5,6,2011,6.0,93000.0,1879,2878,462,53,37000000,96560591,1606,114.0,2011
4475,5,4,2004,6.2,174000.0,896,2212,1110,53,37000000,96455697,1846,98.0,2004
5263,5,4,2008,7.1,246000.0,2782,4318,2056,45,15500000,96409300,2071,96.0,2008
6168,6,0,2012,6.4,119000.0,199,10,1647,53,25000000,96262212,2142,109.0,2012
4675,5,16,2005,6.5,115000.0,2747,561,2028,53,26000000,96258201,835,85.0,2005
5649,6,0,2010,7.6,535000.0,1782,1768,10,52,30000000,96188903,1505,117.0,2010
3824,1,2,2000,6.4,18000.0,1482,1156,1162,53,30000000,96159800,812,77.0,2000
4494,6,6,2004,6.6,107000.0,1415,3391,598,53,80000000,96105910,1697,129.0,2004
3666,5,0,2000,5.9,118000.0,2314,759,170,53,82000000,96085477,1730,123.0,2000
6129,5,4,2012,6.5,45000.0,2633,2316,397,53,12000000,96070507,1911,122.0,2012
6042,4,6,2011,6.8,23000.0,403,2285,1824,6,37000000,95943453,111,113.0,2011
7275,6,3,2018,7.5,181000.0,2794,1013,1908,23,15000000,95918706,1044,119.0,2018
5161,4,2,2007,6.2,62000.0,1545,2361,1949,17,34000000,95802916,36,103.0,2007
4703,5,4,2005,5.6,68000.0,803,1210,1240,53,53000000,95763716,1538,118.0,2005
5551,5,6,2009,7.4,91000.0,1947,1888,327,53,30000000,95714875,740,109.0,2009
4251,6,0,2003,7.0,258000.0,1611,2356,1346,53,22000000,95708457,1375,121.0,2003
5055,6,0,2007,7.2,317000.0,162,2172,1647,53,61000000,95696996,1697,124.0,2007
122,4,4,1981,6.9,27000.0,2514,3886,650,53,7000000,95461682,1665,97.0,1981
6776,5,9,2015,4.9,56000.0,938,948,2195,53,35000000,95437994,1040,93.0,2015
6304,5,0,2013,5.9,129000.0,1004,1911,1520,53,60000000,95396573,1911,130.0,2013
7355,5,9,2018,5.2,50000.0,1208,2884,1583,53,3500000,95330710,415,100.0,2018
4108,6,4,2002,5.6,72000.0,1835,3448,1277,52,17000000,95146283,1556,96.0,2002
7534,5,4,2019,5.4,51000.0,418,3827,143,53,21000000,95017038,1538,93.0,2019
4930,5,0,2006,6.9,89000.0,107,3592,1406,53,70000000,94973540,2095,139.0,2006
4167,6,6,2002,6.5,68000.0,2313,608,206,53,45000000,94935764,1697,98.0,2002
2099,4,4,1992,6.1,23000.0,845,2681,2364,53,26000000,94900635,1236,102.0,1992
3930,5,4,2001,5.3,78000.0,20,3113,1113,15,35000000,94728529,686,103.0,2001
7343,5,4,2018,5.5,51000.0,7,17,100,8,32000000,94539426,1207,110.0,2018
2488,5,1,1994,6.4,43000.0,516,1027,1730,53,45000000,94216343,2142,111.0,1994
6929,6,4,2016,5.9,117000.0,539,2095,2106,53,25000000,94073028,1429,102.0,2016
